RowName,Frame,Timestamp,nose_X,nose_Y,nose_Z,left_shoulder_X,left_shoulder_Y,left_shoulder_Z,right_shoulder_X,right_shoulder_Y,right_shoulder_Z,left_elbow_X,left_elbow_Y,left_elbow_Z,right_elbow_X,right_elbow_Y,right_elbow_Z,left_wrist_X,left_wrist_Y,left_wrist_Z,right_wrist_X,right_wrist_Y,right_wrist_Z,left_hip_X,left_hip_Y,left_hip_Z,right_hip_X,right_hip_Y,right_hip_Z,left_knee_X,left_knee_Y,left_knee_Z,right_knee_X,right_knee_Y,right_knee_Z,left_ankle_X,left_ankle_Y,left_ankle_Z,right_ankle_X,right_ankle_Y,right_ankle_Z
1,1,0.034482758620689655,0,0,0,43.81,-37.43,35.05,-0.3,-37.92,48.82,48.0,-16.49,37.72,-4.0,-18.18,81.87,42.76,-0.63,97.59,-0.29,-5.29,160.6,29.16,1.91,-6.28,2.8,0.93,6.34,24.42,28.06,-38.44,-4.42,26.99,9.34,22.17,49.05,-137.13,-6.81,49.12,-63.61
2,2,0.06896551724137931,0,0,0,43.87,-37.38,39.05,-0.07,-37.9,49.92,48.01,-16.5,37.72,-4.0,-18.15,83.85,43.46,-0.51,87.4,0.24,-5.46,161.81,29.37,1.88,-5.44,2.92,0.77,5.5,24.59,28.13,-31.13,-4.41,26.72,10.7,22.17,49.02,-121.58,-6.78,48.86,-61.22
3,3,0.10344827586206896,0,0,0,43.92,-37.25,46.84,-0.03,-37.8,58.01,48.62,-16.48,40.69,-3.98,-18.12,93.68,47.3,-0.16,86.21,1.55,-5.45,172.42,29.59,1.89,-5.14,3.04,0.73,5.21,24.7,28.09,-28.5,-4.4,26.2,11.85,22.13,48.95,-115.92,-6.46,47.58,-61.76
4,4,0.13793103448275862,0,0,0,43.99,-37.14,44.25,-0.04,-37.65,51.77,49.5,-16.48,34.14,-3.92,-18.11,84.63,50.91,-0.13,69.33,2.86,-5.49,156.9,29.73,1.86,-3.45,3.24,0.61,3.53,24.81,28.03,-16.42,-4.38,25.73,13.4,22.11,48.95,-90.92,-5.08,46.49,-59.85
5,5,0.1724137931034483,0,0,0,44.05,-36.93,46.18,-0.05,-37.51,51.76,50.4,-16.5,36.24,-3.59,-18.11,84.59,54.8,-0.13,74.01,3.41,-5.49,157.51,29.74,1.84,-2.2,3.25,0.59,2.28,24.81,27.87,-13.91,-4.23,25.1,11.05,22.08,48.95,-85.03,-3.64,45.59,-62.6
6,6,0.20689655172413793,0,0,0,44.05,-36.84,46.53,-0.21,-37.15,50.69,51.4,-16.64,36.35,-3.56,-17.56,80.86,57.63,-0.55,69.6,3.32,-5.47,152.04,29.71,1.72,-0.58,3.27,0.47,0.68,24.81,27.53,-5.81,-4.19,24.26,10.57,21.95,48.89,-67.69,-1.67,44.39,-62.25
7,7,0.2413793103448276,0,0,0,43.71,-36.83,44.05,-0.68,-36.97,40.4,52.39,-17.44,29.35,-3.66,-17.42,65.49,59.05,-1.12,52.62,1.8,-5.22,127.31,29.45,1.71,1.47,3.25,0.48,-1.36,24.73,27.52,4.11,-3.88,24.19,1.04,21.56,48.94,-42.36,0.18,43.2,-65.52
8,8,0.27586206896551724,0,0,0,43.14,-36.74,42.0,-1.19,-36.4,33.86,52.86,-18.08,28.98,-4.01,-17.17,50.95,59.67,-1.81,51.13,-0.84,-4.18,101.33,29.34,1.67,3.77,3.42,0.49,-3.65,24.71,27.26,9.23,-3.58,23.83,-1.53,21.34,49.12,-24.77,1.47,42.16,-63.28
9,9,0.3103448275862069,0,0,0,41.88,-36.66,41.44,-1.72,-35.97,26.6,52.93,-18.46,30.12,-5.36,-17.14,42.82,60.38,-2.28,57.95,-3.72,-3.62,94.07,28.72,1.73,6.45,3.38,0.74,-6.33,24.45,27.25,14.33,-2.75,24.01,-11.09,21.14,49.18,-20.95,2.88,41.62,-72.74
10,10,0.3448275862068966,0,0,0,40.83,-36.31,39.09,-2.09,-35.34,21.06,52.73,-18.64,31.04,-6.34,-17.0,35.54,60.01,-2.68,59.75,-6.97,-3.34,84.92,28.03,1.8,7.33,3.17,0.91,-7.2,24.35,27.21,12.87,-1.85,24.01,-13.89,21.07,49.18,-21.97,3.93,41.52,-74.23
